trait_id	trait_display	display_rule	abbreviation_note
Cholesterol_to_total_lipids_ratio_in_large_HDL	Cholesterol/total lipids ratio in large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_large_LDL	Cholesterol/total lipids ratio in large low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_large_VLDL	Cholesterol/total lipids ratio in large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_medium_HDL	Cholesterol/total lipids ratio in medium high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_medium_LDL	Cholesterol/total lipids ratio in medium low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	Cholesterol/total lipids ratio in medium very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_small_HDL	Cholesterol/total lipids ratio in small high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_small_LDL	Cholesterol/total lipids ratio in small low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_small_VLDL	Cholesterol/total lipids ratio in small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_very_large_HDL	Cholesterol/total lipids ratio in very large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	Cholesterol/total lipids ratio in very large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_very_small_VLDL	Cholesterol/total lipids ratio in very small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_LDL	Cholesteryl esters in low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_VLDL	Cholesteryl esters in very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_chylomicrons_and_extremely_large_VLDL	Cholesteryl esters in chylomicrons and extremely large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_large_HDL	Cholesteryl esters in large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_large_LDL	Cholesteryl esters in large low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_large_VLDL	Cholesteryl esters in large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_medium_HDL	Cholesteryl esters in medium high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_medium_LDL	Cholesteryl esters in medium low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_medium_VLDL	Cholesteryl esters in medium very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_small_HDL	Cholesteryl esters in small high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_small_LDL	Cholesteryl esters in small low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_small_VLDL	Cholesteryl esters in small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_very_large_HDL	Cholesteryl esters in very large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_very_large_VLDL	Cholesteryl esters in very large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_in_very_small_VLDL	Cholesteryl esters in very small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	Cholesteryl esters/total lipids ratio in chylomicrons and extremely large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_large_HDL	Cholesteryl esters/total lipids ratio in large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_large_LDL	Cholesteryl esters/total lipids ratio in large low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_large_VLDL	Cholesteryl esters/total lipids ratio in large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_medium_HDL	Cholesteryl esters/total lipids ratio in medium high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_medium_LDL	Cholesteryl esters/total lipids ratio in medium low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	Cholesteryl esters/total lipids ratio in medium very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_small_HDL	Cholesteryl esters/total lipids ratio in small high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_small_LDL	Cholesteryl esters/total lipids ratio in small low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_small_VLDL	Cholesteryl esters/total lipids ratio in small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_very_large_HDL	Cholesteryl esters/total lipids ratio in very large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_very_large_VLDL	Cholesteryl esters/total lipids ratio in very large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	Cholesteryl esters/total lipids ratio in very small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholines	Cholines	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Citrate	Citrate	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Clinical_LDL_C	Clinical low-density lipoprotein cholesterol	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_IDL_particles	Intermediate-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_LDL_particles	Low-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_VLDL_particles	Very-low-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_chylomicrons_and_extremely_large_VLDL_particles	Chylomicrons and extremely large very-low-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_large_HDL_particles	Large high-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_large_LDL_particles	Large low-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_large_VLDL_particles	Large very-low-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_medium_HDL_particles	Medium high-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_medium_LDL_particles	Medium low-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_medium_VLDL_particles	Medium very-low-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_small_HDL_particles	Small high-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_small_LDL_particles	Small low-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_small_VLDL_particles	Small very-low-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_very_large_HDL_particles	Very large high-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_very_large_VLDL_particles	Very large very-low-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Concentration_of_very_small_VLDL_particles	Very small very-low-density lipoprotein particle concentration	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Creatinine	Creatinine	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
DHA	Docosahexaenoic acid	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
DHA_pct	Docosahexaenoic acid/total fatty acids ratio	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Degree_of_unsaturation	Degree of unsaturation	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_IDL	Free cholesterol in intermediate-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_LDL	Free cholesterol in low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_VLDL	Free cholesterol in very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_chylomicrons_and_extremely_large_VLDL	Free cholesterol in chylomicrons and extremely large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_large_HDL	Free cholesterol in large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_large_LDL	Free cholesterol in large low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_large_VLDL	Free cholesterol in large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_medium_HDL	Free cholesterol in medium high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_medium_LDL	Free cholesterol in medium low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_medium_VLDL	Free cholesterol in medium very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_small_HDL	Free cholesterol in small high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_small_LDL	Free cholesterol in small low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_small_VLDL	Free cholesterol in small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_very_large_HDL	Free cholesterol in very large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_very_large_VLDL	Free cholesterol in very large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_in_very_small_VLDL	Free cholesterol in very small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_IDL	Free cholesterol/total lipids ratio in intermediate-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	Free cholesterol/total lipids ratio in chylomicrons and extremely large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_large_HDL	Free cholesterol/total lipids ratio in large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_large_LDL	Free cholesterol/total lipids ratio in large low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_large_VLDL	Free cholesterol/total lipids ratio in large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_medium_HDL	Free cholesterol/total lipids ratio in medium high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_medium_LDL	Free cholesterol/total lipids ratio in medium low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	Free cholesterol/total lipids ratio in medium very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_small_HDL	Free cholesterol/total lipids ratio in small high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_small_LDL	Free cholesterol/total lipids ratio in small low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_small_VLDL	Free cholesterol/total lipids ratio in small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_very_large_HDL	Free cholesterol/total lipids ratio in very large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_very_large_VLDL	Free cholesterol/total lipids ratio in very large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Free_cholesterol_to_total_lipids_ratio_in_very_small_VLDL	Free cholesterol/total lipids ratio in very small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Gln	Glutamine	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Glucose	Glucose	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Gly	Glycine	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
GlycA	Glycoprotein acetyls	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
HDL_C	Total cholesterol in high-density lipoprotein	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
HDL_CE	Cholesteryl esters in high-density lipoprotein	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
HDL_FC	Free cholesterol in high-density lipoprotein	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
HDL_L	Total lipids in high-density lipoprotein	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
HDL_P	High-density lipoprotein particle concentration	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
HDL_PL	Phospholipids in high-density lipoprotein	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
HDL_TG	Triglycerides in high-density lipoprotein	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
HDL_size	Mean high-density lipoprotein particle diameter	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
His	Histidine	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
IDL_CE	Cholesteryl esters in intermediate-density lipoprotein	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
IDL_CE_pct	Cholesteryl esters/total lipids ratio in intermediate-density lipoprotein	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Isoleucine	Isoleucine	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
LDL_cholesterol	Low-density lipoprotein cholesterol	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Lactate	Lactate	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Leucine	Leucine	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Linoleic_acid	Linoleic acid	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Monounsaturated_fatty_acids	Monounsaturated fatty acids	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Omega3_fatty_acids	Omega-3 fatty acids	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Omega6_fatty_acids	Omega-6 fatty acids	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phenylalanine	Phenylalanine	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phosphatidylcholines	Phosphatidylcholines	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phosphoglycerides	Phosphoglycerides	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_IDL	Phospholipids in intermediate-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_LDL	Phospholipids in low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_VLDL	Phospholipids in very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_chylomicrons_and_extremely_large_VLDL	Phospholipids in chylomicrons and extremely large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_large_HDL	Phospholipids in large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_large_LDL	Phospholipids in large low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_large_VLDL	Phospholipids in large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_medium_HDL	Phospholipids in medium high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_medium_LDL	Phospholipids in medium low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_medium_VLDL	Phospholipids in medium very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_small_HDL	Phospholipids in small high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_small_LDL	Phospholipids in small low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_small_VLDL	Phospholipids in small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_very_large_HDL	Phospholipids in very large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_very_large_VLDL	Phospholipids in very large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_in_very_small_VLDL	Phospholipids in very small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_IDL	Phospholipids/total lipids ratio in intermediate-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Phospholipids_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	Phospholipids/total lipids ratio in chylomicrons and extremely large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
