locus_key	window	outcome	n_author_cs_hit	author_cs_ids	best_cs_id	best_cs_mass	retained_mass	mdd_n_cs	mdd_L_stable	highz_unmodeled_screen_positive	status	best_clpp	best_r2	error_message
Cholesterol_in_very_large_HDL__locus333	chr11_60000001_63000001	main	4	XL_HDL_C_chr11:60820861-62820799_L1;XL_HDL_C_chr11:60820861-62820799_L2;XL_HDL_C_chr11:60820861-62820799_L4;XL_HDL_C_chr11:60820861-62820799_L5	XL_HDL_C_chr11:60820861-62820799_L4	0.999999299001532	1	2	TRUE	6	ld_mismatch_unresolved	0.0339427499951121	0.962576786514674	""
Free_cholesterol_in_very_large_HDL__locus199	chr11_60000001_63000001	main	4	XL_HDL_FC_chr11:60820861-62820799_L1;XL_HDL_FC_chr11:60820861-62820799_L2;XL_HDL_FC_chr11:60820861-62820799_L3;XL_HDL_FC_chr11:60820861-62820799_L5	XL_HDL_FC_chr11:60820861-62820799_L5	0.999998884322123	1	2	TRUE	6	ld_mismatch_unresolved	0.0355010865489484	0.962576786514674	""
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus289	chr11_60000001_63000001	main	3	XS_VLDL_CE_pct_chr11:60820861-62820799_L1;XS_VLDL_CE_pct_chr11:60820861-62820799_L2;XS_VLDL_CE_pct_chr11:60820861-62820799_L5	XS_VLDL_CE_pct_chr11:60820861-62820799_L5	0.999813339544477	1	2	TRUE	6	ld_mismatch_unresolved	0.0466160565593438	0.959035771331074	""
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL__locus287	chr11_60000001_63000001	main	3	M_VLDL_FC_pct_chr11:60820861-62820799_L1;M_VLDL_FC_pct_chr11:60820861-62820799_L2;M_VLDL_FC_pct_chr11:60820861-62820799_L5	M_VLDL_FC_pct_chr11:60820861-62820799_L5	0.981830402812567	1	2	TRUE	6	ld_mismatch_unresolved	0.0372418023596585	0.962576786514674	""
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL__locus288	chr11_60000001_63000001	main	3	XS_VLDL_TG_pct_chr11:60820861-62820799_L1;XS_VLDL_TG_pct_chr11:60820861-62820799_L2;XS_VLDL_TG_pct_chr11:60820861-62820799_L4	XS_VLDL_TG_pct_chr11:60820861-62820799_L4	0.999374110914103	1	2	TRUE	6	ld_mismatch_unresolved	0.0427025438249865	0.959035771331074	""
Cholesterol_to_total_lipids_ratio_in_medium_VLDL__locus293	chr11_60000001_63000001	main	3	M_VLDL_C_pct_chr11:60820861-62820799_L1;M_VLDL_C_pct_chr11:60820861-62820799_L3;M_VLDL_C_pct_chr11:60820861-62820799_L4	M_VLDL_C_pct_chr11:60820861-62820799_L1	0.978748244283969	1	2	TRUE	6	ld_mismatch_unresolved	0.0387297046385069	0.959035771331074	""
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL__locus292	chr11_60000001_63000001	main	3	M_VLDL_CE_pct_chr11:60820861-62820799_L1;M_VLDL_CE_pct_chr11:60820861-62820799_L3;M_VLDL_CE_pct_chr11:60820861-62820799_L4	M_VLDL_CE_pct_chr11:60820861-62820799_L1	0.977738680419841	1	2	TRUE	6	ld_mismatch_unresolved	0.0391119624834501	0.959035771331074	""
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids__locus295	chr11_60000001_63000001	main	15	PUFA_by_MUFA_chr11:59341330-61340916_L10;PUFA_by_MUFA_chr11:59341330-61340916_L2;PUFA_by_MUFA_chr11:59341330-61340916_L3;PUFA_by_MUFA_chr11:59341330-61340916_L4;PUFA_by_MUFA_chr11:59341330-61340916_L7;PUFA_by_MUFA_chr11:59341330-61340916_L8;PUFA_by_MUFA_chr11:60820861-62820799_L1;PUFA_by_MUFA_chr11:60820861-62820799_L2;PUFA_by_MUFA_chr11:60820861-62820799_L4;PUFA_by_MUFA_chr11:60820861-62820799_L5;PUFA_by_MUFA_chr11:62231065-64230743_L1;PUFA_by_MUFA_chr11:62231065-64230743_L3;PUFA_by_MUFA_chr11:62231065-64230743_L4;PUFA_by_MUFA_chr11:62231065-64230743_L5;PUFA_by_MUFA_chr11:62231065-64230743_L6	PUFA_by_MUFA_chr11:59341330-61340916_L4	0.999999999999978	0	2	TRUE	6	ld_mismatch_unresolved	0.0373360629455242	0.962576786514674	""
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids__locus273	chr11_60000001_63000001	main	4	PUFA_pct_chr11:60820861-62820799_L1;PUFA_pct_chr11:60820861-62820799_L2;PUFA_pct_chr11:60820861-62820799_L3;PUFA_pct_chr11:60820861-62820799_L4	PUFA_pct_chr11:60820861-62820799_L4	0.99999999226131	1	2	TRUE	6	ld_mismatch_unresolved	0.0371142289720451	0.962576786514674	""
Triglycerides_to_total_lipids_ratio_in_very_large_HDL__locus320	chr11_60000001_63000001	main	4	XL_HDL_TG_pct_chr11:60820861-62820799_L1;XL_HDL_TG_pct_chr11:60820861-62820799_L2;XL_HDL_TG_pct_chr11:60820861-62820799_L3;XL_HDL_TG_pct_chr11:60820861-62820799_L4	XL_HDL_TG_pct_chr11:60820861-62820799_L4	0.999935443992702	1	2	TRUE	6	ld_mismatch_unresolved	0.0356710998022138	0.959035771331074	""
Cholesterol_to_total_lipids_ratio_in_large_HDL__locus328	chr11_60000001_63000001	main	2	L_HDL_C_pct_chr11:60825690-62825489_L1;L_HDL_C_pct_chr11:60825690-62825489_L3	L_HDL_C_pct_chr11:60825690-62825489_L1	0.992141766538763	1	2	TRUE	6	ld_mismatch_unresolved	0.0316965350561901	0.959035771331074	""
Monounsaturated_fatty_acids__locus275	chr11_60000001_63000001	main	3	MUFA_chr11:60820861-62820799_L1;MUFA_chr11:60820861-62820799_L2;MUFA_chr11:60820861-62820799_L3	MUFA_chr11:60820861-62820799_L1	0.953430259178237	1	2	TRUE	6	ld_mismatch_unresolved	0.0346459263033467	0.959035771331074	""
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL__locus268	chr11_60000001_63000001	main	3	XL_VLDL_C_pct_chr11:60824943-62824727_L1;XL_VLDL_C_pct_chr11:60824943-62824727_L2;XL_VLDL_C_pct_chr11:60824943-62824727_L3	XL_VLDL_C_pct_chr11:60824943-62824727_L1	0.990848850710423	1	2	TRUE	6	ld_mismatch_unresolved	0.0243049577963207	0.971735416716001	""
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids__locus192	chr11_60000001_63000001	noUKBB	15	MUFA_pct_chr11:59341330-61340916_L1;MUFA_pct_chr11:59341330-61340916_L10;MUFA_pct_chr11:59341330-61340916_L2;MUFA_pct_chr11:59341330-61340916_L3;MUFA_pct_chr11:59341330-61340916_L5;MUFA_pct_chr11:59341330-61340916_L7;MUFA_pct_chr11:59341330-61340916_L8;MUFA_pct_chr11:59341330-61340916_L9;MUFA_pct_chr11:60820861-62820799_L1;MUFA_pct_chr11:60820861-62820799_L2;MUFA_pct_chr11:60820861-62820799_L4;MUFA_pct_chr11:60820861-62820799_L5;MUFA_pct_chr11:62231065-64230743_L1;MUFA_pct_chr11:62231065-64230743_L4;MUFA_pct_chr11:62231065-64230743_L5	MUFA_pct_chr11:59341330-61340916_L2	1	0	2	TRUE	0	author_cs_coverage_insufficient	0.0342820817013233	0.962576786514674	""
Cholesterol_in_very_large_HDL__locus333	chr11_60000001_63000001	noUKBB	4	XL_HDL_C_chr11:60820861-62820799_L1;XL_HDL_C_chr11:60820861-62820799_L2;XL_HDL_C_chr11:60820861-62820799_L4;XL_HDL_C_chr11:60820861-62820799_L5	XL_HDL_C_chr11:60820861-62820799_L4	0.999999299001532	1	2	TRUE	0	released_cs_overlap	0.0303286261614547	0.962576786514674	""
Free_cholesterol_in_very_large_HDL__locus199	chr11_60000001_63000001	noUKBB	4	XL_HDL_FC_chr11:60820861-62820799_L1;XL_HDL_FC_chr11:60820861-62820799_L2;XL_HDL_FC_chr11:60820861-62820799_L3;XL_HDL_FC_chr11:60820861-62820799_L5	XL_HDL_FC_chr11:60820861-62820799_L5	0.999998884322123	1	2	TRUE	0	released_cs_overlap	0.0325967236550847	0.962576786514674	""
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus289	chr11_60000001_63000001	noUKBB	3	XS_VLDL_CE_pct_chr11:60820861-62820799_L1;XS_VLDL_CE_pct_chr11:60820861-62820799_L2;XS_VLDL_CE_pct_chr11:60820861-62820799_L5	XS_VLDL_CE_pct_chr11:60820861-62820799_L5	0.999813339544477	1	2	TRUE	0	released_cs_overlap	0.0419941291189562	0.959035771331074	""
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL__locus287	chr11_60000001_63000001	noUKBB	3	M_VLDL_FC_pct_chr11:60820861-62820799_L1;M_VLDL_FC_pct_chr11:60820861-62820799_L2;M_VLDL_FC_pct_chr11:60820861-62820799_L5	M_VLDL_FC_pct_chr11:60820861-62820799_L5	0.981830402812567	1	2	TRUE	0	released_cs_overlap	0.0340815172152102	0.962576786514674	""
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL__locus288	chr11_60000001_63000001	noUKBB	3	XS_VLDL_TG_pct_chr11:60820861-62820799_L1;XS_VLDL_TG_pct_chr11:60820861-62820799_L2;XS_VLDL_TG_pct_chr11:60820861-62820799_L4	XS_VLDL_TG_pct_chr11:60820861-62820799_L4	0.999374110914103	1	2	TRUE	0	released_cs_overlap	0.03872244240577	0.959035771331074	""
Cholesterol_to_total_lipids_ratio_in_medium_VLDL__locus293	chr11_60000001_63000001	noUKBB	3	M_VLDL_C_pct_chr11:60820861-62820799_L1;M_VLDL_C_pct_chr11:60820861-62820799_L3;M_VLDL_C_pct_chr11:60820861-62820799_L4	M_VLDL_C_pct_chr11:60820861-62820799_L1	0.978748244283969	1	2	TRUE	0	released_cs_overlap	0.0345584740375847	0.959035771331074	""
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL__locus292	chr11_60000001_63000001	noUKBB	3	M_VLDL_CE_pct_chr11:60820861-62820799_L1;M_VLDL_CE_pct_chr11:60820861-62820799_L3;M_VLDL_CE_pct_chr11:60820861-62820799_L4	M_VLDL_CE_pct_chr11:60820861-62820799_L1	0.977738680419841	1	2	TRUE	0	released_cs_overlap	0.0346710353154736	0.959035771331074	""
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids__locus295	chr11_60000001_63000001	noUKBB	15	PUFA_by_MUFA_chr11:59341330-61340916_L10;PUFA_by_MUFA_chr11:59341330-61340916_L2;PUFA_by_MUFA_chr11:59341330-61340916_L3;PUFA_by_MUFA_chr11:59341330-61340916_L4;PUFA_by_MUFA_chr11:59341330-61340916_L7;PUFA_by_MUFA_chr11:59341330-61340916_L8;PUFA_by_MUFA_chr11:60820861-62820799_L1;PUFA_by_MUFA_chr11:60820861-62820799_L2;PUFA_by_MUFA_chr11:60820861-62820799_L4;PUFA_by_MUFA_chr11:60820861-62820799_L5;PUFA_by_MUFA_chr11:62231065-64230743_L1;PUFA_by_MUFA_chr11:62231065-64230743_L3;PUFA_by_MUFA_chr11:62231065-64230743_L4;PUFA_by_MUFA_chr11:62231065-64230743_L5;PUFA_by_MUFA_chr11:62231065-64230743_L6	PUFA_by_MUFA_chr11:59341330-61340916_L4	0.999999999999978	0	2	TRUE	0	author_cs_coverage_insufficient	0.0342815796504164	0.962576786514674	""
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids__locus273	chr11_60000001_63000001	noUKBB	4	PUFA_pct_chr11:60820861-62820799_L1;PUFA_pct_chr11:60820861-62820799_L2;PUFA_pct_chr11:60820861-62820799_L3;PUFA_pct_chr11:60820861-62820799_L4	PUFA_pct_chr11:60820861-62820799_L4	0.99999999226131	1	2	TRUE	0	released_cs_overlap	0.0340778940330526	0.962576786514674	""
Triglycerides_to_total_lipids_ratio_in_very_large_HDL__locus320	chr11_60000001_63000001	noUKBB	4	XL_HDL_TG_pct_chr11:60820861-62820799_L1;XL_HDL_TG_pct_chr11:60820861-62820799_L2;XL_HDL_TG_pct_chr11:60820861-62820799_L3;XL_HDL_TG_pct_chr11:60820861-62820799_L4	XL_HDL_TG_pct_chr11:60820861-62820799_L4	0.999935443992702	1	2	TRUE	0	released_cs_overlap	0.0306484883263175	0.959035771331074	""
Cholesterol_to_total_lipids_ratio_in_large_HDL__locus328	chr11_60000001_63000001	noUKBB	2	L_HDL_C_pct_chr11:60825690-62825489_L1;L_HDL_C_pct_chr11:60825690-62825489_L3	L_HDL_C_pct_chr11:60825690-62825489_L1	0.992141766538763	1	2	TRUE	0	released_cs_overlap	0.0261371472218596	0.959035771331074	""
Monounsaturated_fatty_acids__locus275	chr11_60000001_63000001	noUKBB	3	MUFA_chr11:60820861-62820799_L1;MUFA_chr11:60820861-62820799_L2;MUFA_chr11:60820861-62820799_L3	MUFA_chr11:60820861-62820799_L1	0.953430259178237	1	2	TRUE	0	released_cs_overlap	0.029989580566539	0.959035771331074	""
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL__locus268	chr11_60000001_63000001	noUKBB	3	XL_VLDL_C_pct_chr11:60824943-62824727_L1;XL_VLDL_C_pct_chr11:60824943-62824727_L2;XL_VLDL_C_pct_chr11:60824943-62824727_L3	XL_VLDL_C_pct_chr11:60824943-62824727_L1	0.990848850710423	1	2	TRUE	0	released_cs_overlap	0.0177602379043567	0.971735416716001	""
Cholesterol_to_total_lipids_ratio_in_medium_VLDL__locus370	chr16_20000001_23000001	main	0	""	""			1	TRUE	4	no_author_released_cs_observed			""
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL__locus357	chr16_20000001_23000001	main	0	""	""			1	TRUE	4	no_author_released_cs_observed			""
Cholesterol_to_total_lipids_ratio_in_medium_VLDL__locus370	chr16_20000001_23000001	noUKBB	0	""	""			1	TRUE	0	no_author_released_cs_observed			""
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL__locus357	chr16_20000001_23000001	noUKBB	0	""	""			1	TRUE	0	no_author_released_cs_observed			""
Free_cholesterol_in_very_large_HDL__locus289	chr20_44000001_47000001	main	5	XL_HDL_FC_chr20:44932273-46932122_L1;XL_HDL_FC_chr20:44932273-46932122_L10;XL_HDL_FC_chr20:44932273-46932122_L2;XL_HDL_FC_chr20:44932273-46932122_L3;XL_HDL_FC_chr20:44932273-46932122_L8	XL_HDL_FC_chr20:44932273-46932122_L2	1	1	3	TRUE	26	ld_mismatch_unresolved			""
Free_cholesterol_in_very_large_HDL__locus289	chr20_44000001_47000001	noUKBB	5	XL_HDL_FC_chr20:44932273-46932122_L1;XL_HDL_FC_chr20:44932273-46932122_L10;XL_HDL_FC_chr20:44932273-46932122_L2;XL_HDL_FC_chr20:44932273-46932122_L3;XL_HDL_FC_chr20:44932273-46932122_L8	XL_HDL_FC_chr20:44932273-46932122_L2	1	1	3	TRUE	7	ld_mismatch_unresolved			""
